Name,Website,School-Type,School-District,District,School-Level,Associated-Incidents,School-Incidents,Incident-Dates,Incident-Descriptions,Supporting-Materials (from Associated-Documents),About-School-Leadership,Positive-Steps,Description-of-Positive-Steps,Positive-Step-Source,Kudos,Have Jewish Student Club,Address,Latitude,Longitude,School-Details-URL,School-Record-ID,School-Specific-URL,Last Modified,Last Modified By,Incident-Table,Incident-Table 2
Mercer Island High School,https://mihs.mercerislandschools.org/,Public,,Mercer Island School District,High,"84,97","Published Materials (Print or Online), Graffiti or Vandalism","2019 - 02 -  null, 2024 - 05 -  22","Images and video of students raising a Nazi salute were posted on social media. In one, a student mimes a Hitler mustache with his finger., Antisemitic graffiti in bathroom.","2019Mar-Mercer-Island-High-School-The-Islander.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/Q4hRKovfuWS1NqmG2ZD3Bw/00BGfLyNXc2DFvqLs1dOnGzl_plmec_PfDHlPigUWfTSEBxdVxKG_KJ3Nab2hSZoYr8CMCWKFR4o4BXZQx2dhQVXPEIKfHiKn06GpdID7v2O65uSBcMV2XbFqIf7jZzZAyo3hoCpzte2nC9wNSp-Ihh4AIanpMV6loCPKBjXqCppq49bUjzADCoKhrBxK28bGOOarAu9z6P9dmQyqRMFnQ/M7J8hx3cEQrpEp_hpDdkhCcCgVehW3DGZbQ6J8WQsl4),2024May22-MercerIslandHS-Superintendent-Letter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/cLWC4Eqvf2cPmxGa1cfhGg/ttmZfKibI9JC6uMKopzserF1zCPWxQtFVWW9NIwZgZOX77BFuFZ8sToTKVHeEz4DpMjC3fSrPvIKdviIuR0M3bi-7jdh8LgARnfKqebEyPproNzQ17L80NyDbezoOvkaXsrS2ljS8Ru6dNA_S52EmRLV9OlPZRGLyQx8Jfj77Behlk0s5K2MXycoIfOAw7I6Su2sbek8mPij6F5Yu6EkXQ/7nJYsk6xl2bcPMxLIoEIJgJlHl6Saqv_gATR5BfcWeg)",,,,,,,"9100 SE 42nd St, Mercer Island, WA 98040",47.5721187,-122.2196508,https://www.stophateinschools.org/school-details?recordId=,rec4jDAFvAZIkKbl4,https://www.stophateinschools.org/school-details?recordId=rec4jDAFvAZIkKbl4,5/29/2024 4:07pm,Our Team,,
Nathan Hale High School,https://halehs.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,"4,38,65,68,71,76,78,79","Published Materials (Print or Online), Demonstration or Other Event, Bullying or Harassment, Graffiti or Vandalism","2023 -  -  null, 2023 - 11 -  10, 2024 - 03 -  20, 2024 - 03 -  28, 2024 - 04 -  04, 2024 - 03 -  null, 2024 - 04 -  25","Posters in the school. (No details), Student walkout. Per TikTok ""It was Nathan Hale HS that organized this!"", Problematic Muslim Student Association (MSA) led ""teach-in"" on Palestine. The content of this event was not fully reviewed by MSA advisors. , A 9th grade class at Nathan Hale is reading Elie Wiesel's ""Night."" Within earshot of a Jewish student, a classmate was heard saying that ""the bad thing about this book is that Hitler didn't finish."" (Date is approximate), A swastika was drawn in the boys bathroom. Another ""symbol"" was found a desk. What the second symbol was, wasn't disclosed by the school., Flyers posted in hallways throughout the school. See related materials for an example., Graffiti on the wall of a student bathroom with ""Free Palestine"" and a swastika., During a ""Climate Day of Action,"" speakers and teachers referenced ""war in Israel and how Israel's bombing is creating more climate damage."" No mention of any other war. One student was heard saying ""I will spit on you again, your dirty Jew"" to another student.","2024March-NathanHale-Hallway-Flyer2.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/53BFCCDUxMRx-GFC_Mmmgg/FIna8TqGkpEjSGJSrOeM8s1tTpZoPhcaYcV6L0qYZigVyn0vkYwrTI7ZlR7zeR4Tc1PLNOu8JXiZJxJX50Aa8LLzMqu0p1e_IhMHdY2xPQEBbEDS0AmU6_7v0-kXX2e_DYBlrqDjcMwt5njE0d7fRBGhf2yFP0wdhoyUMHx1riyewq0WPG9WxE1Q3FhMosIt/NvVr6rq5xI4GO4xr83KLA7ciA5BVA7L0lQULgcSjEnk),2024March-NathanHale-Hallway-Flyer1.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/toUMpOknUqBK4-4aSkLS8A/12zcTLTNlZi3rk6cHwBoH2sR8JRZNIo3DUR8rfKCkKBS7AK9CDUpwzBvTctAtU1-V4wMGwjy5IpTf96LKLcapIMuPlbEcNrH6eESLmb89JkQco7_icQS1_2ZhbjrpjXH73QX6e5ES4W35Djpx7qcODRbTcqrNfrwoexaxZk8KxzGYBSvdlmzX7gC7YzqvymN/Bd5gIyGXKSFGGUH-jpqOYAKwPEEvQ8yfWJb5byaRuSE),2024Apr25-NathanHale-Graffiti.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/rVL3HunFGnpZigyAi4U59A/hn55M5ENOMrcSONJxYBHTbo-QO0nNfAMbBbS5Pj6rYTOzXs9I3U8MXYWeib50UO-C69dTv-mRqqNL3iNB4S-QQhCbt28gQ2jJnS9a_KzeHjKFse7y-Uc6hogi-JS5diISYVCyiwFzG9pLffFp2TiNs3yL7F1_BbqMNL4el5dfchm8UBNHZu1bbXoka11jxxE/dXDR6VvE7yP9lFgtMA9RA--YtMEvvjBiqsjK9sk3X7I),2024Apr25-NathanHale-Graffiti-After-Cleaning.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/nmsZW-HahGaRMkLtx-jTsA/IvWuU9mhnmmuRbrX7AiPUl8WFPl9iMidJ2AaBS49di0XSOgT9R3XK7F1zeGDIg7ddhDOrjecpokwUWtGFLztJM12zqux7VPnr9q-Lr86vH8qheMkPWIHTIwoNWmzrh7WzhRasQlz_1--nE2KR_yzO30MutWb5nikuOztaZURGlhFzvq0bfPPhfdOKq2OmeJ811MT7cnNgvT6n3qOodRhHA/nWi33mzu441obHx_XiHPx-HCOTGHjBZH9ndTPGQlcjE)",,,,,,Yes,"10750 30th Ave. NE, Seattle, WA 98125",47.7073766,-122.2947988,https://www.stophateinschools.org/school-details?recordId=,recMOKWqm2ADgHcCf,https://www.stophateinschools.org/school-details?recordId=recMOKWqm2ADgHcCf,5/24/2024 3:49pm,Our Team,,
Newport High School,https://bsd405.org/nhs/,Public,Bellevue,Bellevue School District,High,"47,99",Demonstration or Other Event,"2023 - 12 -  6, 2024 - 04 -  23","Student walkout. Promoted via social media posts “condemning all Zionism” and pressuring attendees to sign pre-drafted anti-Israel letters to Congress members calling for an end to all US support for Israel. Potentially organized by an outside group., Coordinated walkouts at Newport, Bellevue, and Sammamish high schools organized by outside organizations including Samidoun and Super UW. At Newport, there was also a disturbance inside the school. Standing on a landing of stairs overlooking the school's main common area, a student yelled anti-Israel propaganda and blood libels (e.g., Israel murders children, unconfirmed) into a megaphone while another student draped a Palestinian flag over the railing. School administration did not intervene. One of the participating students is reported to have a history of antisemitic bullying, harassment, and intimidation, both in-person and online, targeting Jewish and Israeli females at Newport. Parents reported the incident to Newport administration and filed an official HIB complaint with the district. Principal Yahoudy indicated that the school is investigating and trying to determine the identity of the perpetrator. An image captured during the incident appears to show Principal Yahoudy sitting on steps directly below the student on the megaphone.","2023Dec6-Newport.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/a9Ktp2bv8t6JHA79AkVUVg/KGHlxODQ5dcXo9c4iKIvCXZqlnHZxbju6FPhGhBm_S5-5N7MCdV538NvyFTMTwNOdV2KuGj9eABZe7RtYfr58vAmLWlBD6nPzei4oDe5CTx2jBh-lUG6vQdJ5THr3XPO-udc0BQ2X1kFSURTaCTKURl-imF5N7mvsJs_Rw_GyDE/WCUvgYgPPchhKIiF3W1NeMy-i5o5BQ9lnRzMyvD0j_8),2024Apr23-NewportHS-In-School-Demonstration.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/Wy4pGD7edJ40PRSpaS75sA/B2pKo1jrxJ33UvOZjAPyoj8w1ngjj9tnl_IKKG1pvnmDn-SY8eUBJrL3jAl-SUN1W2uDB1_c2PkYUTp_scD_x1GpWpavuZnSbQHrAyg1yR-au8ZhkbZURB0InS-QQN5Par7jJveUo62Q5KgAv8jOzX8VznNfl3yHn1C5aWbkEawxErg_xqndgc8eDR-rsP0ACYs_5SRCK5-rYJsvUN-f7Q/KP1oqSr3vtkvMs0tMQSQHE1zPnyc38aRJK44nXqRB4I)",,,,,,,"4333 Factoria Blvd. SE, Bellevue, WA 98006",47.567645,-122.1722388,https://www.stophateinschools.org/school-details?recordId=,recDV7S2kq2VEHQLP,https://www.stophateinschools.org/school-details?recordId=recDV7S2kq2VEHQLP,6/5/2024 8:46am,Josh Herst,,
Northern Heights Elementary School,https://northernheights.bellinghamschools.org/,Public,,Bellingham Public Schools,Elementary,103,Graffiti or Vandalism,2024 - 07 -  11,Graffiti with swastikas and racist slurs targeting Jewish and Black people covered a play area at the school.,,,,,,,,"4000 Magrath Road
Bellingham WA 98226",48.7865059,-122.4190576,https://www.stophateinschools.org/school-details?recordId=,recRhHW5SLn8UU0sR,https://www.stophateinschools.org/school-details?recordId=recRhHW5SLn8UU0sR,8/18/2024 6:07pm,Our Team,,
Northwood Elementary School,https://nw.mercerislandschools.org/,Public,,Mercer Island School District,Elementary,98,Bullying or Harassment,2024 - 02 -  null,A non-Jewish student repeatedly harassed a Jewish student saying “I hope Hamas wins the war and my mommy does too.” The Jewish student reported the incident to the classroom teacher and parents reported it to the principal and superintendent.,,,,,,,,"4030 86th Ave SE Mercer Island, WA 98040",47.5736946,-122.2240557,https://www.stophateinschools.org/school-details?recordId=,recoowoyiFKMqyM1w,https://www.stophateinschools.org/school-details?recordId=recoowoyiFKMqyM1w,5/30/2024 7:33am,Our Team,,
Pacific Cascade Middle School,https://pacificcascade.isd411.org/,Public,,Issaquah School District,Middle,110,Bullying or Harassment,2024 - 06 -  12,"A student ""got in the face"" of another student saying ""Free Palestine, Free Hamas, Free Palestine, Free Hamas.""",,,,,,,,"24635 SE Issaquah Fall City Road
Issaquah WA 98029",47.5587939,-122.010924,https://www.stophateinschools.org/school-details?recordId=,recxNnKDs2whlHrmc,https://www.stophateinschools.org/school-details?recordId=recxNnKDs2whlHrmc,8/18/2024 9:23pm,Our Team,,
Pine Lakes Middle School,https://pinelake.isd411.org/,Public,Issaquah,Issaquah School District,Middle,34,Published Materials (Print or Online),2023 - 11 -  null,plmsstudentsforpalestine IG account (no longer active),,,,,,,,"3095 Issaquah Pine Lake Road Sammamish, WA 98075",47.5801052,-122.0327951,https://www.stophateinschools.org/school-details?recordId=,recA2gBtYAGOl5yrK,https://www.stophateinschools.org/school-details?recordId=recA2gBtYAGOl5yrK,8/18/2024 6:05pm,Our Team,,
Puesta del Sol Elementary,https://bsd405.org/puestadelsol/,Public,Bellevue,Bellevue School District,Elementary,26,Bullying or Harassment,2023 - 10 -  null,"Third grade Jewish student shared in class that she was sad, scared, and nervous about what was happening in Israel. Another student loudly told her that Israel was evil, and she was on the “bad” side.",,,,,,,,"301 151st PL NE, Bellevue, WA 98007",47.6112641,-122.1389515,https://www.stophateinschools.org/school-details?recordId=,rec6NToyXlFKuj0fP,https://www.stophateinschools.org/school-details?recordId=rec6NToyXlFKuj0fP,5/24/2024 3:49pm,Our Team,,
Redmond High School,https://rhs.lwsd.org/,Public,Lake Washington,Lake Washington School District,High,"49,106,107,108","Published Materials (Print or Online), Teacher Issue, Demonstration or Other Event, Teacher Issue, School Administration","2023 - 12 -  10, 2023 - 11 -  null, 2023 - 12 -  null, 2024 - 04 -  null","Flyer announcing Palestinian walk-out at the school has a swastika printed in the upper corner., During class a student yelled that Israel and Israelis are Nazis. Another student in the class took offense to the statement. The teacher defended the student's right to say such comments as their right to “free speech”, even though the class subject was not about history, Middle East politics, or anything related to the topic. The teacher refused to discipline the student. , The Muslim Student Association planned a student walkout during class to protest Israel. Although the school administration had stated that teachers were to continue teaching and remain neutral during the protest, one teacher told all of their students to leave their classroom and locked the door, so everyone would have to attend the protest. , During a staff development session, teachers were assigned a handout describing an actual conflict that had occurred between students at the school to be able to collaborate on how to handle this situation. The teacher-speaker shared a presentation and handout describing that the school had just had a “Culture Night” in which students were invited to represent their cultures’ food, clothing, etc. The teacher-speaker described how a Palestinian student group had a table at the event and been using “their right to free speech” to protest against Israel while handing out anti-Israel boycott (BDS) pamphlets. They explained that an Israeli student visiting the Culture Night took offense to the Palestinian students chants causing a scuffle. This was supposed to be a night of sharing cultural foods/customs/traditions, not protesting. Staff were told to collaborate about how to handle this situation with the Israeli student who took offense. The principal was present during this presentation and nodded in agreement of her approval of this very biased scenario we were supposed to discuss as a staff which had a very anti-Israel tone. ",,,,,,,,"17272 N.E. 104th St., Redmond, WA 98052",47.6930917,-122.1079113,https://www.stophateinschools.org/school-details?recordId=,recawDuCW5py4Gb1E,https://www.stophateinschools.org/school-details?recordId=recawDuCW5py4Gb1E,8/18/2024 5:19pm,Our Team,,
Robert Eaglestaff,https://eaglestaffms.seattleschools.org/,Public,Seattle,Seattle Public Schools,Middle,112,School Curriculum,2024 - 06 -  05,"Classroom teachers introduced curriculum materials 
including a biased video on the history of the Israel-Palestine conflict sourced from YouTube (https://www.youtube.com/watch?v=iRYZjOuUnlU). ",,,,,,,,"1330 N 90th St.
Seattle, WA 98103",47.6950695,-122.3417659,https://www.stophateinschools.org/school-details?recordId=,recj8k89FypMFYfPw,https://www.stophateinschools.org/school-details?recordId=recj8k89FypMFYfPw,8/22/2024 3:35pm,Josh Herst,,
Roosevelt High School,https://roosevelths.seattleschools.org/,Public,Seattle,Seattle Public Schools,High,39,Graffiti or Vandalism,2023 - 11 -  12,"Graffiti outside the school that read ""Globalize the intifada.""","2023Nov12-Roosevelt.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/m_OsG7jA4ExegiPWE6xSew/gZ3i3klrfk_ZtxnVfOg7EChMj2Sixlyc1H__7S0-SRZchrk4B1RJmmBdhzI2vCsbEFMCdYFHbwElvdh3DhbBpGcW0M3j07s1wl8dGFsM0aqCvRJkB9j9VxmB7SNHQIpQBz2nVwQBxupv0zFPPwOT1bvzomiHyK1tZD1FdAbNs9I/2U1a9tq2jadzWsJlxDxeY84Ig-F1LI4aJYCPGPB9USA),2023Nov-Roosevelt-Graffiti-2.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/nuC3CcJhCE8p4mwSI0KLCQ/sh3LXKId9dx-gGw2W3LK4Z_qTOPbys_PeGLPwHEWjxuqZbgSZpVv6h4SDs7jVMYRDXQYRIYJl2M_pNUPuBYdldMlA6wI7lH4RKC_QjS6X2Wzg864x4WAl5uClaIciQoBA-sIOHznbM6lqumRuRHlf5v7oOqhox8KWJkHDd9JCwh3n7juk7E4mb9S_S322WiF/OdPB_sLcvGfF8Tu182g7TP8W54OiqRkriN-hiCY5f18),2023Nov-Roosevelt-Graffiti-1.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/_yJmPrrBEx0tWHZ1dWqduw/ZoMNweWfudkQgqea32C_sXtOQuuFadQATJvkOtfgErcZz4D3bARNUifMMEChfiYdKyHV2O7iO6Cw5ylS5QaXfxBE7tJjSP1N_owyY01JEgBUYTTojSo5lWI9trqzwgvlrt8YFQqHMekDWKPidpuc9jABfSfFqyvihI7F7dnrWvKb3Nj5ckXATuJU4VTBB2E9/tt0CM7qzL_yfBPQkCjHrgTgLgY6PTgxUMdGs_hnMrGU)",,,,,,,"1410 NE 66th St., Seattle WA 98115",47.6774012,-122.3143286,https://www.stophateinschools.org/school-details?recordId=,recinsVKFxSZwKm6M,https://www.stophateinschools.org/school-details?recordId=recinsVKFxSZwKm6M,5/24/2024 3:49pm,Our Team,,
Sammammish High School,https://bsd405.org/sammamish/,Public,Bellevue,Bellevue School District,High,"52,56,100","Demonstration or Other Event, Published Materials (Print or Online)","2023 - 12 -  14, 2024 - 01 -  31, 2024 - 04 -  null","Student walkout. Demonstration during school hours, in front of the school's main doors, with multiple megaphones that could be heard clearly in classrooms. Repetitive chants of “Intifada, long live the Intifada,” calls for and explicitly celebrating violence against Jews, that the October 7th terrorist attack was ""justified,"" and that Israel is a ""colonial apartheid state"" committing ""genocide."" Perhaps organized by an outside group (Palestine Youth Movement). Jewish students reported feeling unsafe and targeted., Misleading article including false and one-sided statements was published online in the Redhawk Talk student newsletter. The article was titled “Palestine-Israel: Who, When, How, and Why?” A Sammamish faculty advisor took the article down without explanation., Coordinated walkouts at Newport, Bellevue, and Sammamish high schools. At Sammamish High School, flyers featuring Samidoun and Super UW logos were posted around the school, promoting the walkout and containing anti-Israel and antisemitic blood libels and propaganda, including advocating for the elimination of the State of Israel. An outdoor display on school property featured a Palestinian flag with signs and glorifying the “martyrs.” The display was featured as a “story” on the Sammamish High School ASB Instagram page. Questions to the district about whether Jewish students at Sammamish High School could make a similarly-sized on-campus vigil with a large Israeli flag, posters and messages for the hostages and victims of the 10/7 terrorist attack were unanswered.","2023Dec14-SammamishHS.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/AJ0cARgcQRi95vbGWwe3Kw/izdHymGsVlvCYxdO0Qs2s2UgN8HO7_lgfTCGlAY2Fbt9EwEcuDqN7ALR6VToU361R4liFjne5zxAbbscbWmRmkqfaFZr95Qk7GbiIt0OdhwdmNpa3FTMUZw84HM9NA7qcDQ-KivkHPDS_IkTlvwACsA_pdvOvVzYBQrAH0cdb8c/DbLtgzbaYv8ONON7JQPu-qFnTFnz3lVcOzBIpvraDpQ),2024Dec14-SammamishHS-SchoolLetter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/hicbKKRf8z3R5Jl3Y5Y0Ag/UvnKupo6vYqhgjSVo8bh2z7GS6iLPDpeAFUM-yzn179CiI2Z9TYWChbvY2GAiVi_3XTDNnrXu5JrwRzDVFQ8SnbHTYBzjVVu-Ezb3Nq4NZjhGGlEN6H3yf5jMkx9dW6mXypq1PbT0US-53rdH24VhoNeS_FWhV2wjg8IOjK05ZjneeC7LGnQ6QH15_ebxWRM/c9wrsV46fXjTkCNJ8soj5p-dPZ09nBu99QAY4SuIX7Y),2024Jan31-SammamishHS-RedhawkArticle.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/NXXAe3k8h19YWigtTixs4Q/MEIgyLQ4QAeiLOpy-mxmo7acHUz4QAKA-juqB_Z8-X2YG9OM4tbaWQ5C-DmrMRgay4NpISUZu3zfi1B0QJSA15gOsBfs6yNOniNXcLZ3jzJ9zMzdaRCEsgNNSOJ2bY-GZQHmRBkTeivsZkJ31PIQVH8xiY-EGVbjr0vh7OKfxZ_uE3wY98HroymNvk52yc_b/hn8Dngav4j0fX_lSwN-xjvOTmKY1gsAKQ7-60oX_cl0),2024Jan31-SammamishHS-SchoolLetter.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/yhGNP_Rb0F8IxXFfO9fnAw/Uj2hae7dl0hWq6L7EQnxur9KPLOMYZSCEUO1n3ynuwWHToqr5eekuYRH37HJYesB84r-akq_FVOOKiJ3sjcSVNGgBbniRYlZ6IqrJn5DlHNUCNWjJcdRcXBxd8zxDwvdRICx23_Rs9gBpflWKX94UDKTCg-t25BxJ_4iGF9kiRAuFajnTCIzMZZ4AmTom5Zd/dwp1Y_yKjZqyhBIUGfQ48kvX_Ztg3pL1TcCZDSLOYnQ),2024Apr-SammamishHS-ASB-Instragram-Story.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/OIdxOMQqHaMn0-4hQeX6bQ/lUtotMhCVbgGfc3Ur76UH63C4TOTxp3CpwpqAdZ4HK5w_MnfG20TXv6isUSZKGpJFhOK6G73MPRRISdn4jYPFTxljNGI2JM3wQkS_B-SjJm8yV0K03sLpS8oS5RFt95X2en3s3Rdjx0WBuG6-b32F3HCQ8a1GFYxfqHvYPXOPhx5t5oymGfaYqZt4Aglun_FG9jt1hvh_gDG2NkowzObNg/TmRHFpetA6c26mcnLorS6WXq9Pl_uhdT_TASdr9E264)","Kurt Cohrs, Sammamish High School Assistant Principal, has shared multiple false and misleading social media posts (IG: kgcohrs, now a private account) regarding Israel including posts insinuating that Jews and Israel represent ""white supremacy"" and are committing ""genocide.""",,,,,,"100 140th Ave. SE Bellevue, WA 98005",47.6077315,-122.153633,https://www.stophateinschools.org/school-details?recordId=,recQVJxwoRNiplYwF,https://www.stophateinschools.org/school-details?recordId=recQVJxwoRNiplYwF,6/5/2024 9:07am,Josh Herst,,
Seattle Academy,https://www.seattleacademy.org/,Private,Independent,,"Middle,High","21,59,95,96","Bullying or Harassment, Teacher Issue, Graffiti or Vandalism","2023 - 08 -  null, 2024 - 02 -  13, 2017 - 03 -  10, 2023 - 04 -  16","Students targeted on social media with antisemitic slurs and death threats., Teacher wore a tshirt with ""Free Palestine"" in class. The school addressed the issue and the teacher apologized to impacted students., Temple De Hirsch Sinai was vandalized with antisemitic and Holocaust-denying graffiti. While likely targeting the synagogue and not the school, Seattle Academy leases space in this building., Similar to the incident in 2017 (incident #95), this vandalism targeted Temple De Hirsch. Seattle Academy leases space from the synagogue.","2017Mar-TempleDeHirsch-Vandalism.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/4HrYigxMltNQuDaBdB8BQw/7ATGdVMv9FHg3c6U-RJYqTMA73MbKoz2fdTiTndjC-nfSdFfnJ1lOVjDqcaHJTNRw1ik98ODfWQAqwSBKlgRRpWWYN8t08T6NYwTTC04_GiSF8Hr2YKyQPxGJ1gLHgSBHWHqaLXYf3c3YMVC5N6iIBG0F9GZIzCH5MooWnx9NGmsNfpP1sIwLJ4mUWXccgO_/d_2YQWXoSkr3d-MLf7bPtWDuLc-Mb6MtglqXTDVl9_8),2023Apr16-TempleDeHirsch-Vandalism.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/kkz6-iSv-DCCPwZEbu_bLA/gGK1oJFuLzFanA72zHnnvP3SkvSZNP_0sOTOPV9Y6MqJGBtkRN29oFN099l7niaSEgtrkCH0bqBZb3yXl7QlXSb6B3EXth-_z-wbrs77uxoM7POGsU0MVzNYRMiAyV5nJ9lEXI0KAM9XxfnTZx3v3do9LJR1o4Jcu79mkK2hdVmMvdU95VsFTF9CGTc_cbZM/l0U9GPpemHeBp5a5RcHdUyv8pkPiBFXwHVNiFDH96_Y)",,,,,2,,"1201 E. Union, Seattle WA 98122",47.6122262,-122.316607,https://www.stophateinschools.org/school-details?recordId=,recrNftTpOy3UQ6FQ,https://www.stophateinschools.org/school-details?recordId=recrNftTpOy3UQ6FQ,5/28/2024 3:32pm,Our Team,,
Syre Elementary School,https://syre.ssd412.org/,Public,Shoreline,Shoreline Public Schools,Elementary,48,"Teacher Issue, School Curriculum",2023 - 12 -  null,"During a social studies class about “protest,” students were shown a video of children participating in anti-Israel demonstrations. Students were directed to create pro-Palestine signs and participate in a mock anti-Israel protest. A video of this was then posted on the school's digital platform.",2023Dec-SyreElementary-Video.mov (https://v5.airtableusercontent.com/v3/u/32/32/1725480000000/erKhAHy0rJ9uJvefVpJpdA/1Y13KSHxIVcxj9YV4nL9hdW-pRgeWrkcMOj9s6Mgg4gZln4WLkfz46tg8bOF7MVf-5xR8bYDBQvtcMosF9KUzyzkkGDxDTGLiTrh2eEIqewCC4OwNj7vuwalCRgYM1iE-SloUpL_wZow6Nt-MAiRhv8mqbpcV16RRCfEm_We0wakQlQAn6pqtCgxG6IN8boU/5pvTlRhBemGFfUHFZIRrCRtoRcTub1qJRfRu1CJtBm8),,,,,,,"19545 12th Ave. NW, Shoreline, WA 98177",47.7710126,-122.3732562,https://www.stophateinschools.org/school-details?recordId=,recYNw6k9efcsREe4,https://www.stophateinschools.org/school-details?recordId=recYNw6k9efcsREe4,5/24/2024 3:49pm,Our Team,,
The Bush School,https://www.bush.edu/,Private,Independent,,"Elementary,Middle,High",57,Teacher Issue,2024 - 02 -  1,Fourth grade teacher with a sticker on her water bottle in the classroom which read “from the river to the sea.” Teacher leads the school's Muslim Affinity Group.,,,Faculty & Staff Training,"Hosted ADL workshop workshop on Combatting Antisemitism (week of March 18, 2024)",https://www.linkedin.com/feed/update/urn:li:activity:7175594934157127681/,1,,"3400 East Harrison Street, Seattle WA 98112",47.6228288,-122.2905449,https://www.stophateinschools.org/school-details?recordId=,rec6iSRLF3clSxXqp,https://www.stophateinschools.org/school-details?recordId=rec6iSRLF3clSxXqp,5/24/2024 3:49pm,Our Team,,
